,name,price,location,size,floor,terrace,age
62,シャンボール第２築地,2090,東京都中央区勝どき５,38.02,1DK,4.27,1973年8月
63,ロイヤルステージ多摩センター,2098,東京都八王子市大塚,67.62,3LDK,-,1998年3月
64,レインボー石神井公園マンション,2098,東京都練馬区高野台２,46,2LDK,4.79,1985年3月
65,エンゼルハイム鹿浜第三,2100,東京都足立区鹿浜６,75.24,4DK,15.56,1989年3月
66,武蔵野スカイハイツ,2180,東京都西東京市芝久保町４,60.08,3LDK,8.25,1974年8月
67,ツインシティ弐番館アルス東砂,2180,東京都江東区東砂８,61.19,3LDK,5.86,1986年9月
68,グリーンコープ落合　タウンハウスタイプ,2180,東京都多摩市落合６,101.23,4LDK,5.1,1984年2月
69,グラード舎人,2180,東京都足立区舎人２,56.62,2LDK,11.15,2006年10月
70,学芸大ニュースカイマンション,2180,東京都世田谷区下馬６,31.05,1LDK,7.83,1972年4月
71,ヴェルドミール聖蹟桜ヶ丘,2180,東京都多摩市関戸４,67.6,3LDK,3.37,1972年11月
72,トーエイ高井戸,2190,東京都杉並区上高井戸１-3-14,47.75,2LDK,6.63,1975年4月
73,ネオコーポ堀切菖蒲園,2190,東京都葛飾区堀切１,61.6,3LDK,7.77,1981年12月
74,レクセルマンション昭島,2198,東京都昭島市武蔵野２,75.74,3LDK,-,2005年3月
75,ライオンズグローベルめじろ台,2198,東京都八王子市散田町５,70.11,2LDK+S（納戸）,18.29,2004年1月
76,美しいリノベーションマンション　ロイヤルハイツ東綾瀬…,2198,東京都足立区谷中１,48.06,2LDK,6.18,1985年12月
77,ヴェルドミール多摩川,2199,東京都府中市住吉町２,59.85,3LDK,-,1978年11月
78,北千住ダイヤモンドマンション,2199,東京都足立区千住仲町15-2,40.15,1LDK,3.24,1978年1月
79,プレジャーガーデン一橋学園,2199,東京都小平市学園東町１,55.87,2DK+S（納戸）,5.73,1999年12月
80,メゾンドール野方,2200,東京都練馬区豊玉南２-25-13,44.88,2LDK,4.5,1979年4月
81,ナイスアーバン久米川,2230,東京都東村山市栄町２,56.09,3LDK,8.55,1993年10月
82,ルネサンスフォルム田無,2230,東京都西東京市西原町１,49.51,2DK,-,1996年11月
83,デューク西新宿,2250,東京都新宿区西新宿４,36.08,ワンルーム,3.31,1979年11月
84,トーア文京マンション,2250,東京都文京区本郷４,33.78,1DK,-,1972年4月
85,グローベルガーデン豊田ディーセントスクエア,2250,東京都八王子市高倉町,75.27,3LDK,24.43,2007年2月
86,尾久橋スカイハイツ,2270,東京都足立区小台１,55.17,2LDK,7,1983年8月
87,ウェルシャン築地,2280,東京都中央区湊３-4-8,35.91,1LDK,-,1978年12月
88,亀戸パークハイツ,2280,東京都江東区亀戸１-16-8,46.56,2DK,-,1974年11月
89,北砂四丁目住宅,2280,東京都江東区北砂４,48.6,2LDK,4.5,1972年6月
90,ブリリア多摩ニュータウン,2280,東京都多摩市諏訪２,43.17,1LDK,10.4,2013年10月
91,グランフォーレ綾瀬,2280,東京都足立区西綾瀬３,55.03,2LDK,9.85,2008年1月
92,エル・アルカサル西日暮里,2280,東京都荒川区西日暮里６,43.2,1LDK,3.15,1979年11月
93,セントラルマンション本郷,2280,東京都文京区本郷６,36.89,1LDK,2.17,1984年3月
94,藤和中野弥生町コープ,2280,東京都中野区弥生町５,38.73,1LDK,3.28,1982年11月
95,サカエファミール,2290,東京都荒川区荒川３-35-6,45.36,1DK+S（納戸）,5.95,1979年6月
96,大島シャスターマンション,2290,東京都江東区大島５,45.94,1LDK,2.97,1975年9月
97,大島シャスターマンション,2290,東京都江東区大島５,45.94,1LDK,2.97,1975年9月
98,タウンハウス永山,2290,東京都多摩市永山５,95.31,4LDK,3.54,1981年3月
99,ライオンズマンション尾久第３,2298,東京都北区昭和町３,45.82,1LDK,6,1980年11月
100,西荻サンケーマンション,2298,東京都杉並区上荻４,80.75,3LDK,5,1971年1月
101,シャンボール久我山,2298,東京都杉並区久我山３,40.14,1LDK,-,1968年3月
102,◆愛住ハイツ◆　,2299,東京都新宿区愛住町,48.98,2LDK,7.7,1967年10月
103,クォンタム南町田,2299,東京都町田市鶴間８,65.7,3LDK,-,2007年4月
104,セントヒルズ方南町,2350,東京都杉並区堀ノ内２,42.05,1LDK,3.23,1987年5月
105,ライオンズプラザ池袋,2350,東京都豊島区東池袋４,32.93,2K,4.09,1982年2月
106,ゴールデンハイツ高野台,2380,東京都練馬区高野台１,43.89,2LDK,3.6,1981年4月
107,クオス永山,2380,東京都多摩市貝取,75.68,3LDK,5.32,2002年12月
108,◆　ライオンズガーデンテラス竹ノ塚　◆,2380,東京都足立区伊興２,68.7,2LDK,9.48,1998年2月
109,ヴェラハイツ国立,2380,東京都国分寺市西町１,84.05,4LDK,8.57,1992年5月
110,ハイネス日暮里,2380,東京都荒川区東日暮里３-9-14,44.53,1LDK,2.8,1985年11月
111,クオス永山,2380,東京都多摩市貝取,75.68,3LDK,5.32,2002年12月
112,染井コーポラス,2380,東京都豊島区駒込４-4-10,39.96,1LDK,-,1968年10月
113,尾久橋スカイハイツ,2380,東京都足立区小台１,60.48,3LDK,7,1983年8月
114,秀和椎名町レジデンス　,2380,東京都豊島区長崎３-13-7,41.4,1DK,5.05,1971年12月
115,五反田永谷タウンプラザ　■オンライン内見可能■,2380,東京都品川区西五反田２,38.88,1LDK,5.94,1979年11月
116,武蔵野スカイハイツ,2380,東京都西東京市芝久保町４,80.23,3LDK+S（納戸）,13.53,1974年8月
117,◆ロイヤルステージ北野　新規リフォームマンション,2390,東京都八王子市打越町,105.58,3LDK+S（納戸）,28.18,1998年3月
118,ヴェルディーク京王堀之内,2390,東京都八王子市東中野,58.53,3LDK,9.9,2014年9月
119,ニューライフマンション小台橋,2398,東京都足立区小台２,61.6,3LDK,7.84,1979年1月
120,ハイネス中野,2398,東京都中野区中央５-４０番１５号,32.85,1DK,4.02,1977年5月
121,ライオンズマンション六本木,2398,東京都港区六本木５,26.56,ワンルーム,2.07,1977年12月
122,カーサ第２亀戸　３号棟,2398,東京都江東区亀戸７,48.6,2LDK,8.1,1974年6月
123,府中ビレジⅡ,2398,東京都府中市本町２,61.97,2LDK,3.81,1985年8月
124,妙義坂マンション,2399,東京都豊島区駒込３-20-12,43.14,2LDK,10.17,1972年3月
125,OLIO池尻大橋（オリオ池尻大橋）南西向き・4階部分,2430,東京都目黒区大橋１-2-6,22.51,1K,5.58,2003年3月
126,東線亀戸マンション,2450,東京都江東区亀戸６,52.43,2LDK,7,1973年6月
127,東急ドエルアルス石神井公園,2480,東京都練馬区三原台３,52.5,2LDK,17.06,1984年2月
128,コスモ西亀有,2480,東京都葛飾区西亀有１,63.18,3LDK,10.92,1988年3月
129,ハイライフ新中野,2480,東京都中野区本町４-47-12,38.7,1LDK,9.45,1973年10月
130,ニューウェルハイツ学芸大,2480,東京都目黒区目黒本町２-20-14,35.45,2DK,5.3,1982年2月
131,サーラ要町,2480,東京都豊島区要町３,44.7,2DK,6,1977年3月
132,東急ドエルアルス石神井公園,2480,東京都練馬区三原台３,52.5,2LDK,17.06,1984年2月
133,南砂キャピタルコータース,2480,東京都江東区南砂６,46.03,2LDK,7.61,1974年9月
134,東建中村橋マンション,2480,東京都練馬区貫井２,54,3LDK,8.1,1971年12月
135,ピア吉祥寺,2480,東京都武蔵野市吉祥寺本町２,34.96,1LDK,3.18,1981年4月
136,ロイヤルパレス学芸大学,2480,東京都世田谷区下馬６,31.09,ワンルーム,3.65,1996年1月
137,ウィスタリアマンション第三砂川,2480,東京都立川市上砂町５,53.46,3LDK,9.84,1985年12月
138,ニュー小金井マンション,2490,東京都小金井市本町３,57.24,3LDK,8.1,1971年1月
139,コータースそれいゆ,2490,東京都西東京市田無町４,59.7,3LDK,5.64,1978年10月
140,武蔵小金井駅徒歩7分　ニュー小金井マンション,2490,東京都小金井市本町３,57.24,3LDK,8.1,1971年1月
141,プランヴェールEX　サザンウィング,2490,東京都荒川区荒川８-24-1,83.64,3LDK,13.09,1997年10月
142,グランノエル多摩センター１,2490,東京都多摩市鶴牧１,58.3,2LDK,14.9,2006年7月
143,フェアベール東府中,2495,東京都府中市浅間町２,61.02,3LDK,8.73,2007年10月
144,リレント早稲田,2498,東京都豊島区高田１,36.72,1DK,6.12,1977年4月
145,新高円寺ダイカンプラザＣｉｔｙ,2498,東京都杉並区堀ノ内３-46-2,31.04,1DK,3.88,1991年11月
146,東小岩1丁目中古マンション,2498,東京都江戸川区東小岩１,69.3,3LDK,-,1991年5月
147,アンクレール聖蹟桜ヶ丘,2498,東京都多摩市関戸４,57.51,2LDK,7.86,1982年5月
148,上高田四丁目団地一号棟,2499,東京都中野区上高田４-17-1,50.6,2DK,8,1971年4月
149,五反田永谷タウンプラザ,2499,東京都品川区西五反田２,38.88,1LDK,5.94,1979年11月
150,セブンスターマンション第5　五反田　■オンライン内見…,2499,東京都品川区西五反田２,35.64,1LDK,5.94,1981年4月
151,東野ビル後楽園住宅　１０階最上階,2499,東京都文京区本郷１,45.6,1LDK,-,1966年3月
152,ライオンズマンション御苑前,2500,東京都新宿区新宿２-3-16,30.06,ワンルーム,2.45,1982年8月
153,マンション五反田,2550,東京都品川区西五反田８-8-14,36.7,1LDK,4,1979年7月
154,ツインシティ東砂アネックス,2550,東京都江東区東砂８,58.3,2LDK,7.7,1987年11月
155,サンワーズ蒲田,2580,東京都大田区蒲田５-6-12,38.61,2DK,4.27,1979年8月
156,シティ田町,2580,東京都港区芝浦２-2-16,30.31,1DK,4.26,1982年4月
157,ライオンズマンション亀戸中央公園,2580,東京都江東区亀戸７,50.52,3DK,3.55,1992年3月
158,アルス音羽,2580,東京都文京区音羽１-15-12,28.56,1DK,3.7,1985年9月
159,ライオンズマンション亀戸中央公園　,2580,東京都江東区亀戸７,50.52,3LDK,3.55,1992年3月
160,【リフォーム住戸】日神パレステージ八王子明神町 ３階,2580,東京都八王子市明神町２,60.92,3LDK,9.9,2003年3月
161,ハピーハイツ向島,2580,東京都墨田区向島１-25-7,43.13,2DK,2.75,1981年4月
162,ニュートーア馬込,2580,東京都大田区南馬込５-42-3,55.05,2DK,1.86,1972年11月
163,砧フラワーマンション,2580,東京都世田谷区砧４,49.68,2LDK,6.48,1976年6月
164,東建金町マンション,2580,東京都葛飾区金町１-6-1,74.51,3LDK,12.91,1976年6月
165,ライオンズマンション井荻第２,2580,東京都練馬区南田中４,54.64,2LDK,5.67,1984年4月
166,モナージュ中野平和の森公園,2580,東京都中野区新井４-4-5,32.53,1DK,4.61,1998年2月
167,初台ハイツ,2580,東京都渋谷区本町１,35.05,1LDK,6.48,1972年9月
168,コータースそれいゆ,2580,東京都西東京市田無町４,59.7,3LDK,5.64,1978年10月
169,アルビオンシティ大泉学園,2590,東京都練馬区大泉学園町８,60.5,3DK,6.05,1996年7月
170,池袋東方マンション,2590,東京都豊島区上池袋３,41.25,1LDK,6.07,1976年12月
171,南烏山ヒミコマンション,2598,東京都世田谷区南烏山６-16-1,45.08,3DK,3.88,1978年10月
172,西新井大師扇スカイハイツ,2599,東京都足立区扇３,61.6,3LDK,7.6,1980年8月
173,尾山台コーポ,2599,東京都世田谷区等々力５-10-3,62.5,2LDK,2.97,1962年11月
174,野沢サマリヤマンション,2599,東京都世田谷区野沢２,48,2LDK,6.48,1972年7月
175,柿の木坂東豊エステート,2600,東京都世田谷区野沢３-2-8,60.32,3LDK,6.84,1970年9月
176,ベルハイム自由が丘,2600,東京都世田谷区奥沢２,33.59,2K,5.6,1984年8月
177,青葉台マンション,2600,東京都目黒区青葉台４,47.1,1LDK,6.16,1968年11月
178,ヴェラハイツ中野坂上,2610,東京都中野区本町３-２７－１０,32.76,1LDK,3.57,1983年3月
179,ベルジュール中神,2630,東京都昭島市玉川町２,67.85,3LDK,7.37,2008年11月
180,ラグーネ品川,2630,東京都品川区東品川１,49.26,1LDK,3.6,1980年11月
