,name,size,terrace,age_1,ku,room,Living,Dining,Kitchen,Service,No.ofRooms,price
16489,スターコート豊洲,56.02,12.3,5110 days,江東,1,1,1,1,0,4,5490
16490,品川イーストシティタワー,41.65,12.4,942 days,品川,1,1,1,1,0,4,5490
16492,五反田ロイヤルハイツ,70,8.12,15399 days,品川,3,1,1,1,0,6,5490
16493,ジオ西新宿ツインレジデンス　ウエスト棟,41.16,4.15,3102 days,新宿,1,1,1,1,0,4,5490
16494,ジオ西新宿ツインレジデンス　ウエスト棟,41.16,4.15,3102 days,新宿,1,1,1,1,0,4,5490
16495,アクシアガーデン南砂,93.77,10.92,7516 days,江東,4,1,1,1,0,7,5490
16496,フィルプレイス王子,76.87,12.68,5840 days,北,4,1,1,1,0,7,5498
16497,ガリシア銀座イース卜,46.38,3.5,5659 days,中央,1,1,1,1,0,4,5498
16498,パレ乃木坂,42.82,5.46,15978 days,港,1,1,1,1,0,4,5499
16500,ナイスアーバン新蒲田,68.69,8.89,8612 days,大田,3,1,1,1,0,6,5499
16501,シャンボール池田山,56.7,5.01,17681 days,品川,2,1,1,1,0,5,5499
16502,パレ乃木坂,42.82,5.46,15978 days,港,1,1,1,1,0,4,5499
16503,ナイスアーバン新蒲田,68.69,8.89,8612 days,大田,3,1,1,1,0,6,5499
16504,マイキャッスル大井町2,54.16,8.12,9616 days,品川,2,1,1,1,0,5,5499
16505,ナイスアーバン新蒲田,68.69,8.89,8612 days,大田,3,1,1,1,0,6,5499
16506,ライオンズマンション八幡山,89.15,10.59,12234 days,杉並,3,1,1,1,0,6,5499
16507,ライオンズマンション八幡山,89.15,10.59,12234 days,杉並,3,1,1,1,0,6,5499
16508,ライオンズマンション八幡山,89.15,10.59,12234 days,杉並,3,1,1,1,0,6,5499
16509,ルフォンリブレ浅草寿,48.95,9.35,1641 days,台東,2,1,1,1,0,5,5500
16510,シティタワーズ東京ベイ　セントラルタワー,43.1,11.65,577 days,江東,1,1,1,1,0,4,5500
16511,ロフティ阿佐ヶ谷,70.07,4.5,4563 days,杉並,3,1,1,1,0,6,5500
16512,デュオ・スカーラ神楽坂タワー,45.69,2.92,6206 days,新宿,1,0,1,1,0,3,5500
16513,ロフティ阿佐ヶ谷,70.07,4.5,4563 days,杉並,3,1,1,1,0,6,5500
16514,ロフティ阿佐ヶ谷,70.07,4.5,4563 days,杉並,3,1,1,1,0,6,5500
16515,ロフティ阿佐ヶ谷,70.07,4.5,4563 days,杉並,3,1,1,1,0,6,5500
16516,プラザ元加賀ＣＤ棟,79.21,8.59,13511 days,江東,3,1,1,1,1,7,5500
16517,クラッシィスイート五反田,41.01,4.91,3284 days,品川,1,1,1,1,0,4,5500
16518,センチュリー新小岩,78.82,11.01,1092 days,葛飾,4,1,1,1,0,7,5500
16519,プラザ元加賀ＣＤ棟,79.21,8.59,13511 days,江東,3,1,1,1,0,6,5500
16520,シティタワーズ東京ベイ　ウエストタワー,43.37,11.71,577 days,江東,1,1,1,1,1,5,5500
16521,テイジン大井町ビューハイツ,137.91,12.8,13056 days,品川,4,0,1,1,0,6,5500
16522,プラザ元加賀,79.21,8.59,13511 days,江東,3,1,1,1,0,6,5500
16523,クレア品川サウスシティ,68.87,5.49,2980 days,品川,2,1,1,1,0,5,5530
16524,プラウドシティ大田六郷　フォレスト街区,75.85,-,1457 days,大田,3,1,1,1,0,6,5530
16525,新宿スカイプラザ,63,4.65,18078 days,新宿,2,1,1,1,0,5,5530
16526,コスモ木場キャナルブリーズ,76.2,12,6571 days,江東,2,1,1,1,1,6,5550
16527,ローゼンハイム,76.86,3.45,15309 days,新宿,3,1,1,1,0,6,5550
16528,プラウドシティ大田六郷 フォレスト街区棟,73.7,12.4,1457 days,大田,3,1,1,1,1,7,5550
16529,ローゼンハイム,76.86,6.69,15309 days,新宿,3,1,1,1,0,6,5550
16530,◆築浅大規模マンション◆南向き◆３LDK◆プラウドシ…,73.7,12.4,1457 days,大田,3,1,1,1,1,7,5550
16531,プラウドシティ大田六郷フォレスト街区,73.7,12.4,1457 days,大田,3,1,1,1,0,6,5550
16532,ダイアパレス猿江恩賜公園,82.4,11.58,11899 days,江東,3,1,1,1,0,6,5580
16534,ダイアパレス猿江恩賜公園,82.4,11.58,11899 days,江東,3,1,1,1,0,6,5580
16535,マイキャッスル門前仲町古石場イースト,69.8,13.1,7577 days,江東,2,1,1,1,0,5,5580
16536,マイキャッスル門前仲町古石場イースト,69.8,13.1,7577 days,江東,2,1,1,1,0,5,5580
16537,プレミスト赤坂檜町公園,42.01,4.08,2890 days,港,1,1,1,1,0,4,5580
16538,ダイアパレス猿江恩賜公園,82.4,11.58,11899 days,江東,3,1,1,1,0,6,5580
16539,マイキャッスル門前仲町古石場イースト,69.8,13.1,7577 days,江東,2,1,1,1,0,5,5580
16540,マイキャッスル門前仲町古石場イースト　2階住戸,69.8,13.1,7577 days,江東,2,1,1,1,0,5,5580
16541,原宿ニュースカイハイツアネックス,42.8,2.96,17559 days,渋谷,1,1,1,1,0,4,5580
16542,ダイアパレス猿江恩賜公園,82.4,11.58,11899 days,江東,3,1,1,1,0,6,5580
16543,パルフェメゾン用賀,69.99,2.2,13938 days,世田谷,2,1,1,1,0,5,5580
16544,シティハウス中目黒テラス,38.9,7.2,1519 days,目黒,1,1,1,1,0,4,5580
16546,マイキャッスル門前仲町古石場イースト,69.8,13.1,7577 days,江東,2,1,1,1,0,5,5580
16547,プラウドシティ大田六郷 フォレスト街区棟,73.7,12.4,1457 days,大田,3,1,1,1,1,7,5580
16548,グリーンキャピタル弦巻,94.09,7.99,14456 days,世田谷,4,1,1,1,0,7,5580
16549,ソフィア太子堂,75.52,8.71,12872 days,世田谷,3,1,1,1,0,6,5580
16550,ローゼンハイム,80,6.69,15309 days,新宿,3,1,1,1,0,6,5580
16551,ウエリス渋谷本町,55.87,8.31,1610 days,渋谷,2,1,1,1,0,5,5580
16552,プラウドシティ大田六郷 フォレスト街区棟,76.28,11.32,1457 days,大田,4,1,1,1,1,8,5580
16553,マイキャッスル門前仲町古石場イースト,69.8,13.1,7577 days,江東,2,1,1,1,0,5,5580
16554,シティタワーズ東京ベイ EAST TOWER,38.83,10.23,577 days,江東,1,1,1,1,0,4,5580
16555,シティタワーズ東京ベイ　イーストタワー,38.83,10.23,577 days,江東,1,1,1,1,0,4,5580
16556,コンポジット日本橋,57.46,5.07,5447 days,中央,1,1,1,1,1,5,5580
16557,パルフェメゾン用賀,69.99,2.2,13938 days,世田谷,2,1,1,1,0,5,5580
16558,Ｂｌｏｃｋ　ｏｎ　Ｂｌｏｃｋ,63.45,4.15,6146 days,世田谷,2,1,1,1,0,5,5580
16559,マイキャッスル門前仲町古石場イースト,69.8,13.1,7577 days,江東,2,1,1,1,0,5,5580
16560,白山パーク・ホームズ,56.76,7.02,12507 days,文京,2,1,1,1,0,5,5580
